1|1|1|1|5|5|5|DobarSmestaj|1|https://www.collinsdictionary.com/images/thumb/cottage_141426904_250.jpg?version=4.0.302|True
2|1|1|2|5|4|5|DobarSmestaj|1|https://www.collinsdictionary.com/images/thumb/cottage_141426904_250.jpg?version=4.0.302|True
3|1|1|3|5|5|5|DobarSmestaj|1|https://www.collinsdictionary.com/images/thumb/cottage_141426904_250.jpg?version=4.0.302|True
4|1|1|4|5|4|5|DobarSmestaj|1|https://www.collinsdictionary.com/images/thumb/cottage_141426904_250.jpg?version=4.0.302|True
5|1|1|5|5|5|5|DobarSmestaj|1|https://www.collinsdictionary.com/images/thumb/cottage_141426904_250.jpg?version=4.0.302|True
6|1|1|6|5|4|5|DobarSmestaj|1|https://www.aveliving.com/AVE/media/Property_Images/Florham%20Park/hero/flor-apt-living-(2)-hero.jpg?ext=.jpg|True
7|1|1|7|5|4|5|DobarSmestaj|1|https://www.aveliving.com/AVE/media/Property_Images/Florham%20Park/hero/flor-apt-living-(2)-hero.jpg?ext=.jpg|True
8|1|1|8|5|5|5|DobarSmestaj|1|https://www.aveliving.com/AVE/media/Property_Images/Florham%20Park/hero/flor-apt-living-(2)-hero.jpg?ext=.jpg|True
9|1|1|9|5|3|5|DobarSmestaj|1|https://www.aveliving.com/AVE/media/Property_Images/Florham%20Park/hero/flor-apt-living-(2)-hero.jpg?ext=.jpg|True
10|1|1|10|5|5|5|DobarSmestaj|1|https://www.aveliving.com/AVE/media/Property_Images/Florham%20Park/hero/flor-apt-living-(2)-hero.jpg?ext=.jpg|True
